# ID,	Name,		Jname,		LV,	HP,	SP,	EXP,	JEXP,	Range1,	ATK1,	ATK2,	DEF,	MDEF,	STR,	AGI,	VIT,	INT,	DEX,	LUK,	Range2,	Range3,	Scale,	Race,	Element,Mode,	Speed,	Adelay,	Amotion,Dmotion,Drop1id,Drop1per,	Drop2id,Drop2per,	Drop3id,Drop3per,	Drop4id,Drop4per,	Drop5id,Drop5per,	Drop6id,Drop6per,	Drop7id,Drop7per,	Drop8id,Drop8per,	Item1,	Item2,	MEXP,	ExpPer,	MVP1id,	MVP1per,MVP2id,	MVP2per,MVP3id,	MVP3per,mutation count,mutation strength
1026,	MountainSnake,	Mountain Snake,	130,	900,	0,	0,	100,	1,	80,	125,	4,	6,	20,	40,	10,	10,	35,	45,	1,	1,	1,	0,	20,	133,	1000,	1500,	672,	480,	532,	20,		641,	150,		715,	400,		715,	400,		711,	500,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		30
1027,	EasterFluffy,	Easter Fluffy,	30,	500,	0,	0,	3,	1,	10,	12,	0,	5,	1,	1,	1,	0,	20,	25,	1,	1,	1,	3,	20,	129,	800,	1872,	672,	480,	1208,	2000,		1209,	2000,		1210,	2000,		1211,	1000,		1212,	1000,		1213,	200,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		40
1028,	Mouboo,		Mouboo,		85,	1200,	0,	0,	40,	2,	30,	75,	65,	5,	15,	5,	15,	0,	40,	10,	2,	2,	1,	3,	20,	129,	600,	1872,	672,	480,	660,	200,		660,	100,		541,	750,		660,	10,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		30
1029,	MauvePlant,	Mauve Plant,	1,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	3,	22,	0,	800,	800,	672,	480,	680,	3000,		680,	3000,		680,	3000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		60
1030,	CobaltPlant,	Cobalt Plant,	1,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	3,	22,	0,	800,	800,	672,	480,	681,	3000,		681,	3000,		681,	3000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1031,	GambogePlant,	Gamboge Plant,	1,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	3,	22,	0,	800,	800,	672,	480,	682,	3000,		682,	3000,		682,	3000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1032,	AlizarinPlant,	Alizarin Plant,	1,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	3,	22,	0,	800,	800,	672,	480,	683,	3000,		683,	3000,		683,	3000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1033,	SeaSlime,	Sea Slime,	70,	600,	0,	0,	9,	1,	30,	50,	3,	7,	1,	25,	1,	0,	30,	30,	1,	1,	1,	0,	41,	131,	1500,	1872,	672,	480,	535,	800,		657,	800,		518,	500,		510,	1000,		700,	100,		1199,	5000,		568,	100,		541,	50,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1034,	GrassSnake,	Grass Snake,	140,	1000,	0,	0,	100,	1,	80,	120,	2,	10,	20,	40,	10,	10,	40,	50,	1,	1,	1,	0,	20,	133,	500,	1100,	672,	480,	716,	400,		716,	400,		712,	500,		676,	500,		660,	350,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		40
1035,	Silkworm,	Silkworm,	20,	1,	0,	0,	1,	1,	0,	0,	2,	10,	20,	11,	10,	10,	40,	10,	1,	1,	1,	0,	20,	129,	1300,	1100,	672,	480,	718,	5000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		40
1036,	Zombie,		Zombie,		110,	12000,	0,	0,	800,	2,	275,	355,	20,	15,	30,	15,	30,	3,	60,	40,	1,	1,	1,	0,	29,	133,	480,	1872,	672,	900,	631,	1000,		777,	700,		778,	120,		779,	200,		780,	150,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1037,	CloverPatch,	Clover Patch,	1,	1,	0,	0,	1,	1,	0,	0,	0,	5,	0,	0,	0,	0,	0,	0,	1,	1,	1,	3,	22,	0,	800,	800,	672,	480,	742,	5,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1038,	Squirrel,	Squirrel,	15,	160,	1,	0,	1,	1,	15,	25,	1,	6,	1,	3,	1,	0,	15,	40,	1,	1,	1,	3,	20,	129,	800,	800,	672,	480,	743,	7000,		680,	1000,		681,	1000,		682,	1000,		683,	1000,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		15
//1039,	FireLizard
1040,	Wisp,		Wisp,		70,	9300,	0,	0,	140,	2,	215,	350,	0,	20,	45,	12,	13,	15,	0,	45,	1,	1,	1,	0,	27,	137,	380,	2000,	672,	1500,	772,	500,		703,	150,		703,	120,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		20
//1041,	Snail
1042,	Spectre,	Spectre,	140,	6500,	0,	3978,	140,	3,	160,	220,	40,	0,	35,	70,	22,	15,	20,	70,	1,	1,	1,	0,	49,	137,	650,	1700,	800,	500,	773,	500,		703,	150,		703,	120,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		20
1043,	Skeleton,	Skeleton,	90,	6800,	0,	0,	90,	1,	51,	284,	12,	10,	35,	18,	3,	8,	71,	65,	1,	1,	1,	0,	29,	175,	340,	1800,	672,	950,	775,	200,		775,	280,		776,	300,		631,	1000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1044,	LadySkeleton,	Lady Skeleton,	90,	5500,	0,	0,	90,	2,	73,	146,	31,	8,	20,	25,	15,	8,	43,	48,	1,	1,	1,	0,	29,	175,	650,	750,	672,	700,	775,	200,		775,	280,		776,	300,		631,	1000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1045,	Fallen,		Fallen,		120,	10000,	0,	7812,	1000,	2,	180,	430,	5,	20,	40,	3,	25,	5,	80,	45,	1,	1,	1,	0,	49,	133,	300,	1200,	672,	300,	775,	210,		775,	210,		776,	300,		631,	1000,		636,	3,		658,	2,		532,	35,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	4,		50
1046,	SnakeLord,	Snake Lord,	300,	40000,	0,	0,	8000,	2,	80,	120,	10,	10,	20,	40,	10,	10,	40,	10,	1,	1,	1,	0,	20,	132,	200,	1500,	672,	480,	0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1047,	Poltergeist,	Poltergeist,	90,	9000,	0,	0,	140,	3,	110,	150,	0,	20,	35,	0,	15,	15,	75,	50,	1,	1,	1,	0,	27,	137,	330,	740,	672,	400,	774,	500,		703,	150,		703,	120,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		20
//1048,	Duck
