//ID,   Name,                   Jname,                  LV,     HP,         SP,     EXP,        JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,   Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%,     Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength

1073,   TheLost,                TheLost,                30,     5000,       0,      0,          841,    5,      260,    375,    10,     70,     5,      40,     10,     70,     70,     40,     4,      9,      1,      1,      69,     141,    500,    2000,   672,    300,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0

//1074, RedBone

//1075, Stalker

//1076, DreadWing

1077,   DrunkenSkeleton,        DrunkenSkeleton,        90,     7200,       0,      0,          530,    1,      55,     284,    30,     10,     35,     10,     3,      8,      71,     65,     1,      1,      1,      0,      29,     137,    350,    1800,   672,    950,    790,    300,        789,    280,    3003,   100,    3000,   50,     3009,   250,    3006,   400,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1078,   TipsySkeleton,          TipsySkeleton,          90,     7000,       0,      0,          493,    1,      60,     284,    33,     10,     35,     10,     3,      8,      71,     65,     1,      1,      1,      0,      29,     137,    350,    1800,   672,    950,    787,    300,        788,    280,    3002,   100,    3000,   50,     3007,   400,    3010,   250,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1079,   DrunkenLadySkeleton,    DrunkenLadySkeleton,    90,     6000,       0,      0,          389,    2,      75,     146,    40,     8,      20,     20,     15,     8,      51,     48,     1,      1,      1,      0,      29,     137,    660,    750,    672,    700,    785,    300,        786,    280,    3001,   100,    3000,   50,     3010,   250,    3009,   250,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1080,   BlueSpark,              BlueSpark,              40,     10000,      0,      0,          392,    2,      40,     40,     20,     40,     30,     30,     30,     30,     30,     30,     1,      1,      1,      0,      20,     129,    190,    1500,   800,    800,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1081,   RedSpark,               RedSpark,               40,     10000,      0,      0,          392,    2,      40,     40,     20,     40,     30,     30,     30,     30,     30,     30,     1,      1,      1,      0,      20,     129,    190,    1500,   800,    800,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1082,   Serqet,                 Serqet,                 10,     100,        0,      0,          2,      1,      10,     15,     0,      5,      1,      1,      1,      0,      15,     5,      1,      1,      1,      3,      20,     129,    2000,   1872,   672,    480,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1083,   HuntsmanSpider,         HuntsmanSpider,         30,     1500,       0,      0,          363,    1,      125,    150,    10,     45,     20,     15,     10,     10,     45,     10,     1,      1,      1,      0,      45,     175,    575,    1250,   672,    480,    638,    100,        526,    500,    640,    300,    518,    1000,   719,    500,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
