//ID, Name,           Jname,           Jname,           LV,   HP,   SP,   EXP,  JEXP, Range1, ATK1, ATK2, DEF,  MDEF, STR,  AGI,  VIT,  INT,  DEX,  LUK,  Range2, Range3, Scale, Race, Element, Mode,    Speed, Adelay,  Amotion,  Dmotion, Item1, MEXP,   ExpPer,  MVP1id, MVP1per, MVP2id, MVP2per, Drop1id, Drop1per, Drop2id, Drop2%,   Drop3id, Drop3%,   Drop4id, Drop4%,   Drop5id, Drop5%,   Drop6id, Drop6%,   Drop7id, Drop7%,   Drop8id, Drop8%,   0,       0,        0,       0        
1011, FireGoblin,     FireGoblin,      FireGoblin,      20,   220,  0,    33,   4,    1,      15,   20,   0,    5,    1,    1,    1,    0,    6,    30,   1,      1,      1,     3,    23,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     800,      501,     150,      518,     800,      502,     150,      521,     70,       522,     10,       701,     500,      0,       0,        0,       0,        0,       0        
1017, Bat,            Bat,             Bat,             20,   150,  0,    22,   3,    1,      5,    25,   0,    5,    1,    1,    1,    0,    20,   25,   1,      1,      1,     3,    24,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     800,      501,     150,      518,     400,      533,     150,      521,     70,       522,     1,        753,     3000,     754,     2000,     0,       0,        0,       0        
1131, ManaBug,        ManaBug,         ManaBug,         25,   300,  0,    42,   5,    2,      8,    15,   4,    6,    1,    4,    1,    4,    5,    4,    2,      1,      1,     3,    24,      137,     800,   1800,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     1000,     518,     800,      533,     400,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1018, Pinkie,         Pinkie,          Pinkie,          30,   300,  0,    46,   7,    2,      7,    15,   0,    5,    1,    1,    1,    0,    20,   25,   2,      2,      1,     3,    20,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       614,     1000,     751,     40,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1019, SpikyMushroom,  SpikyMushroom,   SpikyMushroom,   30,   300,  0,    43,   5,    1,      10,   13,   0,    5,    1,    1,    1,    0,    10,   10,   1,      1,      1,     3,    20,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       567,     800,      501,     150,      518,     50,       613,     400,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1020, Fluffy,         Fluffy,          Fluffy,          30,   500,  0,    76,   7,    1,      6,    10,   1,    5,    1,    2,    1,    0,    20,   25,   1,      1,      1,     3,    20,      129,     800,   1600,    672,      480,     0,    0,      0,       0,      0,       0,      0,       611,     800,      527,     150,      535,     400,      752,     20,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1021, CaveSnake,      CaveSnake,       CaveSnake,       30,   800,  0,    123,  13,   1,      20,   15,   1,    5,    10,   1,    1,    0,    5,    20,   1,      1,      1,     3,    20,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       612,     1000,     610,     40,       713,     500,      717,     400,      717,     400,      641,     20,       0,       0,        0,       0,        0,       0,        0,       0        
1025, LogHead,        LogHead,         LogHead,         30,   500,  0,    116,  5,    1,      7,    20,   50,   5,    1,    1,    1,    0,    20,   25,   1,      1,      1,     3,    22,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       569,     2000,     740,     2500,     743,     3000,     569,     2000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1027, EasterFluffy,   EasterFluffy,    EasterFluffy,    30,   500,  0,    77,   7,    1,      10,   12,   0,    5,    1,    1,    1,    0,    20,   25,   1,      1,      1,     3,    20,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       1208,    2000,     1209,    2000,     1210,    2000,     1211,    1000,     1212,    1000,     1213,    200,      0,       0,        0,       0,        0,       0,        0,       0        
1035, Silkworm,       Silkworm,        Silkworm,        20,   1,    0,    1,    1,    1,      0,    0,    2,    10,   20,   11,   10,   10,   40,   10,   1,      1,      1,     0,    20,      129,     1300,  1100,    672,      480,     0,    0,      0,       0,      0,       0,      0,       718,     5000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1041, Snail,          Snail,           Snail,           30,   900,  0,    114,  18,   1,      60,   65,   20,   15,   10,   1,    25,   0,    20,   10,   1,      1,      1,     0,    20,      129,     1800,  2500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       719,     500,      806,     400,      1250,    1000,     1251,    1500,     1248,    500,      1252,    2000,     0,       0,        0,       0,        0,       0,        0,       0        
1049, Bee,            Bee,             Bee,             30,   600,  0,    124,  32,   1,      5,    90,   12,   4,    15,   25,   20,   3,    40,   30,   1,      1,      1,     0,    25,      137,     380,   1500,    300,      350,     0,    0,      0,       0,      0,       0,      0,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1055, Butterfly,      Butterfly,       Butterfly,       25,   250,  0,    56,   11,   2,      10,   50,   3,    5,    10,   45,   10,   15,   35,   40,   1,      1,      1,     3,    44,      129,     350,   780,     300,      800,     0,    0,      0,       0,      0,       0,      0,       718,     1000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1057, AngryScorpion,  AngryScorpion,   AngryScorpion,   20,   200,  0,    27,   5,    1,      15,   15,   0,    5,    5,    5,    1,    0,    15,   5,    1,      1,      1,     3,    20,      133,     1000,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       4000,    700,      510,     100,      509,     50,       518,     700,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1058, IceGoblin,      IceGoblin,       IceGoblin,       25,   330,  0,    52,   10,   1,      20,   25,   0,    5,    5,    5,    1,    0,    6,    30,   1,      1,      1,     3,    21,      133,     700,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     800,      501,     150,      518,     800,      502,     150,      521,     70,       522,     10,       4026,    500,      0,       0,        0,       0,        0,       0        
1060, Archant,        Archant,         Archant,         30,   400,  0,    61,   14,   1,      20,   30,   4,    6,    10,   5,    1,    0,    12,   10,   1,      1,      1,     0,    25,      133,     1000,  1500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       537,     300,      535,     100,      640,     40,       4001,    20,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1064, Bandit,         Bandit,          Bandit,          20,   400,  0,    65,   21,   1,      40,   40,   5,    0,    10,   10,   10,   10,   10,   10,   1,      1,      1,     0,    29,      135,     500,   1500,    672,      900,     0,    0,      0,       0,      0,       0,      0,       4016,    800,      521,     200,      526,     500,      535,     200,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1083, HuntsmanSpider, HuntsmanSpider,  HuntsmanSpider,  30,   1500, 0,    302,  363,  1,      125,  150,  10,   45,   20,   15,   10,   10,   45,   10,   1,      1,      1,     0,    45,      175,     575,   1250,    672,      480,     0,    0,      0,       0,      0,       0,      0,       638,     100,      526,     500,      640,     300,      518,     1000,     719,     500,      4001,    150,      0,       0,        0,       0,        0,       0,        0,       0        
1084, CrotcherScorpion, CrotcherScorpion, CrotcherScorpion, 25,   1200, 0,    264,  86,   1,      75,   175,  15,   45,   15,   30,   10,   10,   25,   25,   1,      1,      1,     0,    45,      133,     750,   1350,    672,      480,     0,    0,      0,       0,      0,       0,      0,       523,     300,      518,     1000,     509,     300,      512,     300,      535,     500,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1087, Larvern,        Larvern,         Larvern,         20,   550,  0,    122,  26,   1,      50,   200,  30,   65,   35,   20,   50,   0,    70,   20,   1,      1,      1,     0,    25,      139,     1500,  1500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       836,     2000,     518,     1000,     807,     300,      806,     300,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1089, HungryFluffy,   HungryFluffy,    HungryFluffy,    30,   500,  0,    76,   10,   1,      6,    10,   1,    5,    1,    2,    1,    0,    20,   25,   1,      1,      1,     3,    20,      133,     800,   1600,    672,      480,     0,    0,      0,       0,      0,       0,      0,       611,     500,      527,     150,      752,     20,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1093, WhiteSlime,     WhiteSlime,      WhiteSlime,      20,   200,  0,    40,   15,   1,      80,   120,  10,   10,   20,   30,   10,   10,   30,   20,   1,      1,      1,     0,    61,      137,     500,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       4026,    200,      4002,    20,       541,     500,      863,     100,      864,     200,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1094, Reinboo,        Reinboo,         Reinboo,         35,   1100, 0,    214,  29,   2,      40,   75,   35,   5,    15,   5,    15,   0,    40,   10,   2,      2,      1,     3,    20,      129,     600,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       512,     1000,     736,     1200,     737,     1200,     738,     1200,     739,     1200,     869,     50,       4042,    10,       0,       0,        0,       0,        0,       0        
1099, SleepingBandit, SleepingBandit,  SleepingBandit,  20,   25,   0,    3,    1,    1,      0,    0,    0,    0,    10,   10,   10,   10,   10,   10,   1,      1,      1,     0,    29,      0,       500,   1500,    672,      900,     0,    0,      0,       0,      0,       0,      0,       4016,    800,      521,     200,      526,     500,      535,     200,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1100, AzulSlime,      AzulSlime,       AzulSlime,       20,   200,  0,    40,   10,   1,      80,   120,  10,   10,   20,   30,   10,   10,   30,   20,   1,      1,      1,     0,    61,      131,     500,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1107, Bluepar,        Bluepar,         Bluepar,         30,   350,  0,    54,   8,    2,      7,    15,   0,    5,    1,    1,    1,    0,    20,   25,   2,      2,      1,     3,    20,      133,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       567,     800,      568,     800,      4002,    50,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1108, AngryFireGoblin, AngryFireGoblin, AngryFireGoblin, 30,   320,  0,    55,   12,   1,      25,   40,   0,    10,   3,    3,    3,    2,    10,   50,   1,      1,      1,     3,    23,      133,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     800,      501,     150,      518,     800,      502,     150,      521,     70,       522,     10,       701,     500,      0,       0,        0,       0,        0,       0        
1113, Pollett,        Pollett,         Pollett,         30,   500,  0,    76,   7,    1,      6,    10,   1,    5,    1,    2,    1,    0,    20,   25,   1,      1,      1,     3,    20,      129,     800,   1600,    672,      480,     0,    0,      0,       0,      0,       0,      0,       4026,    1000,     4023,    500,      700,     300,      862,     100,      1189,    400,      1189,    400,      1189,    400,      611,     500,      0,       0,        0,       0        
//ID, Name,           Jname,           Jname,           LV,   HP,   SP,   EXP,  JEXP, Range1, ATK1, ATK2, DEF,  MDEF, STR,  AGI,  VIT,  INT,  DEX,  LUK,  Range2, Range3, Scale, Race, Element, Mode,    Speed, Adelay,  Amotion,  Dmotion, Item1, MEXP,   ExpPer,  MVP1id, MVP1per, MVP2id, MVP2per, Drop1id, Drop1per, Drop2id, Drop2%,   Drop3id, Drop3%,   Drop4id, Drop4%,   Drop5id, Drop5%,   Drop6id, Drop6%,   Drop7id, Drop7%,   Drop8id, Drop8%,   0,       0,        0,       0        
1004, RedScorpion,    RedScorpion,     RedScorpion,     90,   550,  0,    107,  16,   1,      50,   55,   4,    6,    8,    8,    10,   10,   30,   10,   1,      1,      1,     0,    20,      129,     1000,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       517,     2000,     509,     100,      518,     500,      1200,    10,       1199,    760,      1201,    540,      524,     25,       0,       0,        0,       0,        0,       0        
1006, GiantMaggot,    GiantMaggot,     GiantMaggot,     80,   500,  0,    91,   14,   2,      45,   75,   2,    7,    8,    6,    2,    1,    22,   1,    2,      2,      1,     0,    41,      129,     2000,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       1199,    900,      519,     100,      518,     750,      501,     5000,     502,     3000,     503,     11,       526,     200,      0,       0,        0,       0,        0,       0        
1028, Mouboo,         Mouboo,          Mouboo,          85,   1200, 0,    326,  16,   2,      30,   75,   65,   5,    15,   5,    15,   0,    40,   10,   2,      2,      1,     3,    20,      129,     600,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       660,     1000,     660,     500,      541,     750,      660,     50,       806,     500,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1043, Skeleton,       Skeleton,        Skeleton,        90,   6800, 0,    2102, 1467, 1,      51,   284,  12,   10,   35,   18,   3,    8,    71,   65,   1,      1,      1,     0,    29,      175,     340,   1800,    672,      950,     0,    0,      0,       0,      0,       0,      0,       775,     200,      775,     280,      776,     300,      631,     1000,     778,     250,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1044, LadySkeleton,   LadySkeleton,    LadySkeleton,    90,   5500, 0,    2135, 957,  2,      73,   146,  31,   8,    20,   25,   15,   8,    43,   48,   1,      1,      1,     0,    29,      175,     650,   750,     672,      700,     0,    0,      0,       0,      0,       0,      0,       775,     200,      775,     280,      776,     300,      631,     1000,     778,     250,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1047, Poltergeist,    Poltergeist,     Poltergeist,     90,   9000, 0,    2605, 1306, 3,      110,  150,  0,    20,   35,   0,    15,   15,   75,   50,   1,      1,      1,     0,    27,      137,     330,   740,     672,      400,     0,    0,      0,       0,      0,       0,      0,       774,     1000,     703,     150,      703,     120,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1059, GCMaggot,       GiantCaveMaggot, GiantCaveMaggot, 90,   2000, 0,    395,  102,  2,      60,   80,   2,    7,    10,   10,   2,    1,    22,   1,    2,      2,      1,     0,    41,      133,     1000,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       727,     10000,    0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1066, VampireBat,     VampireBat,      VampireBat,      80,   800,  0,    164,  9,    1,      55,   150,  10,   8,    8,    8,    1,    4,    20,   4,    6,      1,      1,     3,    24,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       501,     150,      518,     400,      533,     150,      521,     70,       522,     1,        5115,    3000,     754,     2000,     0,       0,        0,       0,        0,       0        
1069, Scythe,         Scythe,          Scythe,          80,   3000, 0,    2496, 617,  1,      200,  350,  30,   10,   100,  250,  1,    1,    150,  90,   1,      50,     1,     0,    40,      133,     220,   700,     672,      500,     0,    0,      0,       0,      0,       0,      0,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1070, BallLightning,  BallLightning,   BallLightning,   80,   300,  0,    77,   1,    1,      5,    10,   40,   65,   1,    200,  1,    1,    1,    1,    1,      50,     1,     0,    47,      133,     110,   1500,    672,      0,       0,    0,      0,       0,      0,       0,      0,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1073, TheLost,        TheLost,         TheLost,         83,   5000, 0,    8750, 2840, 5,      125,  150,  10,   70,   5,    40,   10,   70,   70,   40,   4,      9,      1,     1,    69,      141,     500,   2000,    672,      300,     0,    0,      0,       0,      0,       0,      0,       5110,    500,      5110,    500,      631,     500,      566,     500,      778,     800,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1074, RedBone,        RedBone,         RedBone,         90,   8000, 0,    9750, 3434, 2,      100,  330,  24,   30,   35,   25,   3,    50,   80,   75,   2,      2,      1,     1,    29,      175,     340,   1800,    672,      950,     0,    0,      0,       0,      0,       0,      0,       775,     75,       775,     115,      776,     135,      631,     4,        778,     250,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1077, DrunkenSkeleton, DrunkenSkeleton, DrunkenSkeleton, 90,   7200, 0,    2912, 530,  1,      55,   284,  30,   10,   35,   10,   3,    8,    71,   65,   1,      1,      1,     0,    29,      137,     350,   1800,    672,      950,     0,    0,      0,       0,      0,       0,      0,       790,     300,      789,     280,      3003,    100,      3000,    50,       3009,    250,      3006,    400,      778,     250,      0,       0,        0,       0,        0,       0        
1078, TipsySkeleton,  TipsySkeleton,   TipsySkeleton,   90,   7000, 0,    2987, 493,  1,      60,   284,  33,   10,   35,   10,   3,    8,    71,   65,   1,      1,      1,     0,    29,      137,     350,   1800,    672,      950,     0,    0,      0,       0,      0,       0,      0,       787,     300,      788,     280,      3002,    100,      3000,    50,       3007,    400,      3010,    250,      778,     250,      0,       0,        0,       0,        0,       0        
1079, DrunkenLadySkeleton, DrunkenLadySkeleton, DrunkenLadySkeleton, 90,   6000, 0,    2660, 389,  2,      75,   146,  40,   8,    20,   20,   15,   8,    51,   48,   1,      1,      1,     0,    29,      137,     660,   750,     672,      700,     0,    0,      0,       0,      0,       0,      0,       785,     300,      786,     280,      3001,    100,      3000,    50,       3010,    250,      3009,    250,      778,     250,      0,       0,        0,       0,        0,       0        
1097, SoulEater,      SoulEater,       SoulEater,       90,   6800, 0,    2232, 1746, 1,      129,  354,  12,   10,   35,   18,   3,    8,    71,   65,   1,      1,      1,     0,    29,      175,     340,   1800,    672,      950,     0,    0,      0,       0,      0,       0,      0,       778,     250,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1103, WitchGuard,     WitchGuard,      WitchGuard,      84,   9742, 0,    4313, 1060, 2,      200,  220,  25,   50,   90,   65,   45,   5,    120,  69,   1,      1,      1,     0,    89,      133,     290,   1200,    672,      30,      0,    0,      0,       0,      0,       0,      0,       631,     2000,     631,     500,      778,     250,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1104, DemonicMouboo,  DemonicMouboo,   DemonicMouboo,   85,   800,  0,    176,  32,   2,      40,   70,   35,   15,   15,   5,    15,   0,    40,   10,   2,      2,      1,     3,    20,      133,     600,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       660,     1000,     660,     500,      703,     750,      4004,    50,       806,     500,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1109, AngrySeaSlime,  AngrySeaSlime,   AngrySeaSlime,   80,   1200, 0,    268,  42,   1,      40,   70,   13,   17,   3,    30,   3,    0,    35,   35,   1,      1,      1,     0,    41,      135,     1500,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       535,     800,      657,     800,      518,     500,      510,     1000,     700,     100,      1199,    5000,     568,     100,      541,     50,       0,       0,        0,       0        
1115, SeaSlimeMother, SeaSlimeMother,  SeaSlimeMother,  90,   8000, 0,    1784, 900,  5,      100,  150,  10,   20,   1,    15,   10,   10,   10,   10,   1,      1,      1,     0,    44,      175,     1500,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       535,     800,      657,     800,      518,     500,      510,     1000,     700,     100,      1199,    5000,     568,     100,      541,     50,       0,       0,        0,       0        
1116, UndeadWitch,    UndeadWitch,     UndeadWitch,     80,   4200, 0,    1012, 722,  3,      50,   110,  8,    31,   15,   20,   10,   25,   50,   40,   1,      1,      1,     0,    29,      175,     550,   1500,    672,      700,     0,    0,      0,       0,      0,       0,      0,       631,     1000,     775,     400,      776,     300,      704,     100,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1118, GreenSlimeMother, GreenSlimeMother, GreenSlimeMother, 90,   8000, 0,    1942, 900,  5,      100,  150,  15,   20,   20,   25,   20,   30,   20,   20,   1,      1,      1,     0,    21,      175,     1400,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       502,     200,      4004,    20,       501,     100,      521,     250,      522,     200,      526,     500,      503,     500,      535,     750,      0,       0,        0,       0        
1124, Wight,          Wight,           Wight,           90,   8000, 0,    9000, 1900, 2,      56,   294,  32,   15,   28,   25,   15,   15,   50,   65,   3,      3,      1,     1,    29,      175,     340,   1400,    672,      950,     0,    0,      0,       0,      0,       0,      0,       775,     100,      775,     140,      776,     150,      631,     50,       631,     500,      778,     250,      0,       0,        0,       0,        0,       0,        0,       0        
1125, ManaGhost,      ManaGhost,       ManaGhost,       82,   8000, 0,    7500, 2400, 3,      150,  300,  23,   30,   35,   15,   3,    50,   50,   40,   2,      2,      1,     1,    29,      131,     340,   1800,    672,      950,     0,    0,      0,       0,      0,       0,      0,       775,     75,       775,     115,      776,     135,      631,     40,       5110,    700,      631,     800,      0,       0,        0,       0,        0,       0,        0,       0        
//ID, Name,           Jname,           Jname,           LV,   HP,   SP,   EXP,  JEXP, Range1, ATK1, ATK2, DEF,  MDEF, STR,  AGI,  VIT,  INT,  DEX,  LUK,  Range2, Range3, Scale, Race, Element, Mode,    Speed, Adelay,  Amotion,  Dmotion, Item1, MEXP,   ExpPer,  MVP1id, MVP1per, MVP2id, MVP2per, Drop1id, Drop1per, Drop2id, Drop2%,   Drop3id, Drop3%,   Drop4id, Drop4%,   Drop5id, Drop5%,   Drop6id, Drop6%,   Drop7id, Drop7%,   Drop8id, Drop8%,   0,       0,        0,       0        
1002, Maggot,         Maggot,          Maggot,          5,    50,   0,    6,    1,    1,      5,    10,   0,    5,    1,    1,    1,    0,    6,    5,    1,      1,      1,     3,    21,      129,     800,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     800,      501,     150,      518,     400,      533,     150,      502,     70,       522,     10,       0,       0,        0,       0,        0,       0,        0,       0        
1046, TameScorpion,   TameScorpion,    TameScorpion,    5,    50,   0,    5,    2,    1,      7,    10,   0,    5,    1,    1,    1,    0,    15,   5,    1,      1,      1,     3,    20,      129,     2000,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       507,     700,      510,     100,      509,     50,       518,     700,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1050, HouseMaggot,    HouseMaggot,     HouseMaggot,     5,    50,   0,    6,    3,    1,      7,    7,    0,    5,    5,    5,    1,    0,    6,    5,    1,      1,      1,     3,    21,      133,     700,   1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       505,     800,      501,     150,      518,     400,      533,     150,      502,     70,       522,     10,       0,       0,        0,       0,        0,       0,        0,       0        
1003, Scorpion,       Scorpion,        Scorpion,        10,   100,  0,    12,   2,    1,      10,   15,   0,    5,    1,    1,    1,    0,    15,   5,    1,      1,      1,     3,    20,      129,     2000,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       507,     700,      510,     100,      509,     50,       518,     700,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1029, MauvePlant,     MauvePlant,      MauvePlant,      1,    1,    0,    1,    1,    1,      0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    1,      1,      1,     3,    22,      0,       800,   800,     672,      480,     0,    0,      0,       0,      0,       0,      0,       680,     3000,     680,     3000,     680,     3000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
